Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_1V1_BATTLE,1v1 Battle,Trận Chiến 1v1,1v1 战斗,1v1 戰鬥,1v1バトル,Bataille 1v1,1v1-Kampf,Batalla 1v1,Batalha 1v1,1 ضد 1 معركة,битва 1 на 1,1대1 전투,Battaglia 1v1,1v1 लड़ाई,1v1 Labanan,Pertempuran 1v1,การต่อสู้ 1v1,1v1 Savaş
TXT_3_CRIT_CHANCE_UP_PERCENT,[3] Crit Chance Up (%),[3] Tăng Tỉ Lệ Chí Mạng (%),[3]暴击率上升(%),[3]暴擊率上升(%),[3] クリティカル率アップ(%),[3] Chances De Coup Critique Augmentées (%),[3] Chance Auf Kritische Treffer Erhöht (%),[3] Probabilidad De Crítico Aumentada (%),[3] Chance Crítica Aumentada (%),[3] زيادة احتمالية الإصابة بالحرج (%),[3] Повышен Шанс Критического Удара (%),[3] 치명타 확률 증가(%),[3] Probabilità Critica Aumentata (%),[3] आलोचना की संभावना बढ़ी (%),[3] Tumaas Ang Pagkakataon Sa Pag-Crit (%),[3] Peluang Kritik Meningkat (%),[3] โอกาสคริติคอลเพิ่มขึ้น (%),[3] Kritik Şansı Arttı (%)
TXT_3_SPLASH_DMG_PERCENT,[3] Splash DMG (%),[3] Sát Thương Lan (%),[3]溅射伤害(%),[3]濺鍍傷害(%),[3]スプラッシュダメージ(%),[3] Dégâts D'éclaboussure (%),[3] Spritzschaden (%),[3] Daño Por Salpicadura (%),[3] Dano Inicial (%),[3] ضرر البداية (%),[3] Урон От Брызг (%),[3] 스플래시 데미지(%),[3] Danno Da Schizzi (%),[3] छींटे से क्षति (%),[3] Splash Damage (%),[3] Kerusakan Percikan (%),[3] ความเสียหายแบบกระจาย (%),[3] Sıçrama Hasarı (%)
TXT_5_CRIT_CHANCE_UP_PERCENT,[5] Crit Chance Up (%),[5] Tăng Tỉ Lệ Chí Mạng (%),[5]暴击率上升(%),[5]暴擊率上升(%),[5] クリティカル率アップ(%),[5] Chances De Coup Critique Augmentées (%),[5] Chance Auf Kritische Treffer Erhöht (%),[5] Probabilidad De Crítico Aumentada (%),[5] Chance Crítica Aumentada (%),[5] زيادة احتمالية الإصابة بالحرج (%),[5] Повышен Шанс Критического Удара (%),[5] 치명타 확률 증가(%),[5] Probabilità Critica Aumentata (%),[5] आलोचकों की संभावना बढ़ी (%),[5] Tumaas Ang Pagkakataon Sa Pag-Crit (%),[5] Peluang Kritik Meningkat (%),[5] โอกาสคริติคอลเพิ่มขึ้น (%),[5] Kritik Şansı Arttı (%)
TXT_5_SPLASH_DMG_PERCENT,[5] Splash DMG (%),[5] Sát Thương Lan (%),[5] 溅射伤害（%）,[5] 濺鍍傷害（%）,[5]スプラッシュダメージ(%),[5] Dégâts D'éclaboussure (%),[5] Spritzschaden (%),[5] Daño Por Salpicadura (%),[5] Dano Inicial (%),[5] دفقة الدمج (%),[5] Всплеск Урона (%),[5] 스플래시 데미지(%),[5] Danni Da Schizzi (%),[5] स्पलैश डीएमजी (%),[5] Splash Dmg (%),[5] Kerusakan Percikan (%),[5] ความเสียหายสาด (%),[5] Sıçrama Hasarı (%)
TXT_ABSORB_PERCENT,Absorb (%),Hấp Thụ (%),吸收(%),吸收(%),吸収する （％）,Absorber (%),Absorbieren (%),Absorber (%),Absorver (%),تمتص (٪),Поглощать (%),흡수하다 (%),Assorbire (%),अवशोषित करना (%),Sumipsip (%),Menyerap (%),ดูดซับ (%),Absorbe (%)
TXT_ACCOUNT,Account,Tài Khoản,帐户,,アカウント,Compte,Konto,Cuenta,Conta,حساب,Счет,계정,Account,खाता,Account,Akun,บัญชี,Hesap
TXT_ACCOUNT_LINKAGE,Account Linkage,Liên Kết Tài Khoản,账户联动,賬戶聯動,アカウント連携,Liaison De Compte,Kontoverknüpfung,Vinculación De Cuenta,Vinculação De Conta,ربط الحساب,Привязка Аккаунта,계정 연결,Collegamento Dell'account,खाता लिंकेज,Linkage Ng Account,Tautan Akun,การเชื่อมโยงบัญชี,Hesap Bağlantısı
TXT_ACCQUIRE_MORE_HERO,Accquire more Hero through the Hero Lab,Thu thập thêm Anh hùng thông qua Phòng thí nghiệm Anh hùng,通过英雄实验室获得更多英雄,,ヒーローラボを通じてさらに多くのヒーローを獲得,Acquérir plus de héros grâce au Hero Lab,Erwerben Sie mehr Helden über das Heldenlabor,Adquiere más héroes a través del Hero Lab,Adquira mais heróis através do Hero Lab,احصل على المزيد من الأبطال من خلال Hero Lab,Приобретайте больше героев через Лабораторию героев.,Hero Lab을 통해 더 많은 영웅을 획득하세요,Ottieni più eroi attraverso l'Hero Lab,हीरो लैब के माध्यम से अधिक हीरो प्राप्त करें,Makakuha ng higit pang Hero sa pamamagitan ng Hero Lab,Dapatkan lebih banyak Pahlawan melalui Lab Pahlawan,รับฮีโร่เพิ่มผ่าน Hero Lab,Kahraman Laboratuvarı aracılığıyla daha fazla Kahraman edinin
TXT_ACCUMULATED_BALANCE,Accumulated Balance,Số Dư Tích Lũy,累计余额,,累計残高,Solde Accumulé,Angesammelter Saldo,Saldo Acumulado,Saldo Acumulado,الرصيد المتراكم,Накопленный Баланс,누적 잔액,Saldo Accumulato,संचित शेष,Naipon Na Balanse,Akumulasi Saldo,ยอดสะสม,Birikmiş Bakiye
