Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_TUTORIAL_CHAPTER_1_INTERACTION_1,Try replacing {name} on the indicated cell,Hãy thử thay thế {name} trên ô được chỉ định,尝试替换指定单元格上的 {name},,指定されたセルの {name} を置き換えてみてください,Essayez de remplacer {name} dans la cellule indiquée,"Versuchen Sie, {name} in der angegebenen Zelle zu ersetzen",Intente reemplazar {nombre} en la celda indicada,Tente substituir {nome} na célula indicada,حاول استبدال {name} في الخلية المشار إليها,Попробуйте заменить {name} в указанной ячейке.,표시된 셀에서 {name}을(를) 바꿔보세요.,Prova a sostituire {nome} nella cella indicata,संकेतित सेल पर {नाम} को बदलने का प्रयास करें,Subukang palitan ang {name} sa ipinahiwatig na cell,Coba ganti {name} pada sel yang ditunjukkan,ลองแทนที่ {name} ในเซลล์ที่ระบุ,Belirtilen hücrede {name}'i değiştirmeyi deneyin
TXT_TUTORIAL_CHAPTER_1_STEP_1,"Grid Wars
is a strategy game where you place your Hero on the board to battle your opponent.","Cuộc chiến lưới
là một trò chơi chiến lược trong đó bạn đặt Anh hùng của mình lên bàn cờ để chiến đấu với đối thủ.","网格战争
是一款策略游戏，您可以将英雄放在棋盘上与对手作战。",,"グリッドウォーズ
は、ヒーローをボードに配置して敵と戦う戦略ゲームです。","Guerres de grille
est un jeu de stratégie dans lequel vous placez votre héros sur le plateau pour combattre votre adversaire.","Gitterkriege
ist ein Strategiespiel, bei dem Sie Ihren Helden auf dem Spielbrett platzieren, um gegen Ihren Gegner zu kämpfen.","Guerras de cuadrícula
es un juego de estrategia en el que colocas a tu héroe en el tablero para luchar contra tu oponente.","Guerras de grade
é um jogo de estratégia onde você coloca seu herói no tabuleiro para lutar contra seu oponente.","حروب الشبكة
هي لعبة إستراتيجية حيث تضع بطلك على اللوحة لمحاربة خصمك.","Решетчатые войны
— это стратегическая игра, в которой вы размещаете своего героя на доске, чтобы сразиться с противником.","그리드 전쟁
보드 위에 영웅을 배치하여 상대와 전투를 벌이는 전략 게임입니다.","Guerre della griglia
è un gioco di strategia in cui posizioni il tuo eroe sul tabellone per combattere il tuo avversario.","ग्रिड युद्ध
एक रणनीति गेम है जहां आप अपने प्रतिद्वंद्वी से लड़ने के लिए अपने हीरो को बोर्ड पर रखते हैं।","Grid Wars
ay isang laro ng diskarte kung saan mo ilalagay ang iyong Hero sa board para labanan ang iyong kalaban.","Perang Jaringan
adalah permainan strategi di mana Anda menempatkan Pahlawan Anda di papan untuk melawan lawan.","สงครามกริด
เป็นเกมกลยุทธ์ที่คุณวางฮีโร่ของคุณไว้บนกระดานเพื่อต่อสู้กับคู่ต่อสู้ของคุณ","Izgara Savaşları
rakibinizle savaşmak için Kahramanınızı tahtaya yerleştirdiğiniz bir strateji oyunudur."
TXT_TUTORIAL_CHAPTER_1_STEP_1_1,"Arena Conquest: Merges Defense
is a strategy game where you place your Hero on the board to battle your opponent.","Chinh phục đấu trường: Hợp nhất phòng thủ
là một trò chơi chiến lược trong đó bạn đặt Anh hùng của mình lên bàn cờ để chiến đấu với đối thủ.","竞技场征服：合并防御
是一款策略游戏，您可以将英雄放在棋盘上与对手作战。",,"アリーナ征服: 防御を融合
は、ヒーローをボードに配置して敵と戦う戦略ゲームです。","Conquête d'arène : fusionne la défense
est un jeu de stratégie dans lequel vous placez votre héros sur le plateau pour combattre votre adversaire.","Arena-Eroberung: Zusammenführung der Verteidigung
ist ein Strategiespiel, bei dem Sie Ihren Helden auf dem Spielbrett platzieren, um gegen Ihren Gegner zu kämpfen.","Conquista de arena: fusiona la defensa
es un juego de estrategia en el que colocas a tu héroe en el tablero para luchar contra tu oponente.","Conquista de Arena: Mescla Defesa
é um jogo de estratégia onde você coloca seu herói no tabuleiro para lutar contra seu oponente.","غزو ​​الساحة: يدمج الدفاع
هي لعبة إستراتيجية حيث تضع بطلك على اللوحة لمحاربة خصمك.","Завоевание арены: объединяет защиту
— это стратегическая игра, в которой вы размещаете своего героя на доске, чтобы сразиться с противником.","아레나 컨퀘스트: ​​머지 디펜스
보드 위에 영웅을 배치하여 상대와 전투를 벌이는 전략 게임입니다.","Conquista dell'arena: unisce la difesa
è un gioco di strategia in cui posizioni il tuo eroe sul tabellone per combattere il tuo avversario.","अखाड़ा विजय: रक्षा का विलय
एक रणनीति गेम है जहां आप अपने प्रतिद्वंद्वी से लड़ने के लिए अपने हीरो को बोर्ड पर रखते हैं।","Pagsakop sa Arena: Pinagsasama ang Depensa
ay isang laro ng diskarte kung saan mo ilalagay ang iyong Hero sa board para labanan ang iyong kalaban.","Penaklukan Arena: Menggabungkan Pertahanan
adalah permainan strategi di mana Anda menempatkan Pahlawan Anda di papan untuk melawan lawan.","Arena Conquest: ผสานการป้องกัน
เป็นเกมกลยุทธ์ที่คุณวางฮีโร่ของคุณไว้บนกระดานเพื่อต่อสู้กับคู่ต่อสู้","Arena Fethi: Savunmayı Birleştirir
rakibinizle savaşmak için Kahramanınızı tahtaya yerleştirdiğiniz bir strateji oyunudur."
TXT_TUTORIAL_CHAPTER_1_STEP_2,"The indicated board is the area where you can place your Heroes.
The rest is where your opponent uses!","Bảng được chỉ định là khu vực mà bạn có thể đặt các Anh hùng của mình.
Phần còn lại là nơi đối thủ của bạn sử dụng!","指示的棋盘是您可以放置​​英雄的区域。
剩下的就是你的对手使用的地方了！",,"示されたボードはヒーローを配置できるエリアです。
残りは相手が使うところです！","Le plateau indiqué est la zone où vous pouvez placer vos Héros.
Le reste est là où votre adversaire l'utilise !","Das angezeigte Feld ist der Bereich, in dem Sie Ihre Helden platzieren können.
Den Rest nutzt Ihr Gegner!","El tablero indicado es el área donde puedes colocar a tus Héroes.
¡El resto es lo que usa tu oponente!","O tabuleiro indicado é a área onde você pode colocar seus Heróis.
O resto é onde seu oponente usa!","اللوحة المشار إليها هي المنطقة التي يمكنك وضع أبطالك فيها.
والباقي هو المكان الذي يستخدمه خصمك!","Указанное поле — это место, где вы можете разместить своих героев.
Остальное – это то, чем воспользуется ваш оппонент!","표시된 보드는 영웅을 배치할 수 있는 영역입니다.
나머지는 상대방이 사용하는 곳입니다!","Il tabellone indicato è l'area in cui puoi posizionare i tuoi Eroi.
Il resto è dove usa il tuo avversario!","संकेतित बोर्ड वह क्षेत्र है जहां आप अपने नायकों को रख सकते हैं।
बाकी वह जगह है जहां आपका प्रतिद्वंद्वी उपयोग करता है!","Ang nakasaad na board ay ang lugar kung saan mo mailalagay ang iyong mga Bayani.
Ang natitira ay kung saan ginagamit ng iyong kalaban!","Papan yang ditunjukkan adalah area di mana kamu dapat menempatkan Pahlawanmu.
Sisanya adalah tempat yang digunakan lawan!","กระดานที่ระบุคือพื้นที่ที่คุณสามารถวางฮีโร่ของคุณได้
ที่เหลือคือที่ที่คู่ต่อสู้ของคุณใช้!","Belirtilen pano Kahramanlarınızı yerleştirebileceğiniz alandır.
Gerisi rakibinizin kullandığı yerdir!"
TXT_TUTORIAL_CHAPTER_1_STEP_3,"Out of the 5 Heroes in your deck,
2 random Heroes will appear.","Trong số 5 Anh hùng trong bộ bài của bạn,
2 Anh hùng ngẫu nhiên sẽ xuất hiện.","在你套牌中的 5 名英雄中，
将会出现 2 名随机英雄。",,"あなたのデッキにある5人のヒーローのうち、
ランダムで2人のヒーローが登場します。","Sur les 5 Héros de votre deck,
2 héros aléatoires apparaîtront.","Von den 5 Helden in deinem Deck,
Es erscheinen 2 zufällige Helden.","De los 5 héroes de tu mazo,
Aparecerán 2 héroes aleatorios.","Dos 5 heróis do seu deck,
2 heróis aleatórios aparecerão.","من بين الأبطال الخمسة الموجودين في مجموعتك،
سيظهر بطلان عشوائيان.","Из 5 героев в вашей колоде,
Появятся 2 случайных героя.","덱에 포함된 영웅 5명 중
무작위 영웅 2명이 등장합니다.","Dei 5 eroi nel tuo mazzo,
Appariranno 2 eroi casuali.","आपके डेक के 5 नायकों में से,
2 यादृच्छिक नायक दिखाई देंगे।","Sa 5 Bayani sa iyong deck,
2 random na Bayani ang lalabas.","Dari 5 Pahlawan di dek Anda,
2 Pahlawan acak akan muncul.","จากฮีโร่ทั้ง 5 ในเด็คของคุณ
ฮีโร่แบบสุ่ม 2 ตัวจะปรากฏขึ้น","Destenizdeki 5 Kahramandan
2 rastgele Kahraman görünecektir."
TXT_TUTORIAL_CHAPTER_1_STEP_4,"You can choose a Hero to drag and place.
The other one will disappear.","Bạn có thể chọn một Anh hùng để kéo và đặt.
Cái kia sẽ biến mất.","您可以选择一个英雄来拖动和放置。
另一个就会消失。",,"ドラッグして配置するヒーローを選択できます。
もう一つは消えてしまいます。","Vous pouvez choisir un héros à faire glisser et à placer.
L'autre disparaîtra.","Sie können einen Helden zum Ziehen und Platzieren auswählen.
Der andere wird verschwinden.","Puedes elegir un héroe para arrastrarlo y colocarlo.
El otro desaparecerá.","Você pode escolher um herói para arrastar e posicionar.
O outro desaparecerá.","يمكنك اختيار بطل لسحبه ووضعه.
والآخر سوف يختفي.","Вы можете выбрать героя, которого можно перетащить и разместить.
Другой исчезнет.","드래그하여 배치할 영웅을 선택할 수 있습니다.
다른 하나는 사라질 것입니다.","Puoi scegliere un eroe da trascinare e posizionare.
L'altro scomparirà.","आप खींचने और रखने के लिए हीरो चुन सकते हैं।
दूसरा गायब हो जाएगा.","Maaari kang pumili ng Hero na i-drag at ilalagay.
Mawawala yung isa.","Anda dapat memilih Pahlawan untuk diseret dan ditempatkan.
Yang lainnya akan hilang.","คุณสามารถเลือกฮีโร่ที่จะลากและวางได้
อีกอันหนึ่งก็จะหายไป","Sürükleyip yerleştirmek için bir Kahraman seçebilirsiniz.
Diğeri yok olacak."
TXT_TUTORIAL_CHAPTER_1_STEP_5,Great Job!,Công Việc Tuyệt Vời!,干得好！,,素晴らしい仕事だ！,Super Travail !,Tolle Arbeit!,¡Gran Trabajo!,Ótimo Trabalho!,عمل عظيم!,Отличная Работа!,정말 잘했어요!,Ottimo Lavoro!,अच्छा काम!,Mahusay Na Trabaho!,Kerja Bagus!,เยี่ยมมาก!,Harika Iş!
TXT_TUTORIAL_CHAPTER_1_STEP_6,"You have to be careful where you place your Hero, as relocating a Hero is not allowed.","Bạn phải cẩn thận nơi đặt Anh hùng của mình, vì việc di chuyển Anh hùng là không được phép.",你必须小心放置英雄的位置，因为不允许重新放置英雄。,,ヒーローの再配置は許可されていないため、ヒーローを配置する場所に注意する必要があります。,"Vous devez faire attention à l'endroit où vous placez votre Héros, car déplacer un Héros n'est pas autorisé.","Du musst vorsichtig sein, wo du deinen Helden platzierst, da das Versetzen eines Helden nicht erlaubt ist.","Debes tener cuidado al colocar a tu héroe, ya que no está permitido reubicarlo.","Você deve ter cuidado onde coloca seu Herói, pois não é permitido realocá-lo.",عليك أن تكون حذرًا في المكان الذي تضع فيه بطلك، حيث إن نقل البطل غير مسموح به.,"Вы должны быть осторожны, размещая своего Героя, поскольку перемещение Героя запрещено.",영웅을 재배치하는 것은 허용되지 않으므로 영웅을 배치하는 위치에 주의해야 합니다.,"Devi fare attenzione a dove posizioni il tuo Eroe, poiché non è consentito spostare un Eroe.","आपको सावधान रहना होगा कि आप अपने हीरो को कहां रखते हैं, क्योंकि हीरो को स्थानांतरित करने की अनुमति नहीं है।","Kailangan mong mag-ingat kung saan mo ilalagay ang iyong Hero, dahil hindi pinapayagan ang paglipat ng Hero.","Kamu harus berhati-hati di mana kamu menempatkan Hero kamu, karena memindahkan Hero tidak diperbolehkan.",คุณต้องระมัดระวังในการวางฮีโร่ของคุณ เนื่องจากไม่อนุญาตให้ย้ายฮีโร่,"Kahramanın yerini değiştirmeye izin verilmediğinden, Kahramanınızı nereye yerleştirdiğinize dikkat etmelisiniz."
TXT_TUTORIAL_CHAPTER_1_STEP_7,"Once you place a Hero on the board, another set of Hero will appear.","Khi bạn đặt Anh hùng lên bảng, một nhóm Anh hùng khác sẽ xuất hiện.",一旦你在棋盘上放置了一个英雄，另一组英雄就会出现。,,ボードにヒーローを配置すると、別のヒーローのセットが表示されます。,"Une fois que vous placez un héros sur le plateau, un autre groupe de héros apparaîtra.","Sobald Sie einen Helden auf dem Spielbrett platzieren, erscheint ein weiterer Heldensatz.","Una vez que coloques un héroe en el tablero, aparecerá otro conjunto de héroes.","Depois de colocar um Herói no tabuleiro, outro conjunto de Heróis aparecerá.",بمجرد وضع البطل على اللوحة، ستظهر مجموعة أخرى من الأبطال.,"Как только вы разместите Героя на доске, появится еще один набор Героев.",영웅을 보드에 배치하면 다른 영웅 세트가 나타납니다.,"Una volta posizionato un eroe sul tabellone, apparirà un altro set di eroi.","एक बार जब आप हीरो को बोर्ड पर रख देंगे, तो हीरो का एक और सेट दिखाई देगा।","Kapag naglagay ka ng Hero sa board, isa pang set ng Hero ang lalabas.","Setelah Anda menempatkan Pahlawan di papan, kumpulan Pahlawan lainnya akan muncul.",เมื่อคุณวางฮีโร่ไว้บนกระดานแล้ว ฮีโร่อีกชุดหนึ่งจะปรากฏขึ้น,Tahtaya bir Kahraman yerleştirdiğinizde başka bir Kahraman seti görünecektir.
TXT_TUTORIAL_CHAPTER_1_STEP_8,"You're doing GREAT!
Once you place 3 Heroes on the board,
the battle phase will begin.","Bạn đang làm TUYỆT VỜI!
Khi bạn đặt 3 Anh hùng lên bàn cờ,
giai đoạn chiến đấu sẽ bắt đầu.","你做得很好！
一旦你在棋盘上放置了 3 个英雄，
战斗阶段将开始。",,"素晴らしい出来ですね！
3人のヒーローをボードに配置すると、
バトルフェイズが始まります。","Vous allez très bien !
Une fois que vous avez placé 3 Héros sur le plateau,
la phase de combat va commencer.","Du machst das großartig!
Sobald Sie 3 Helden auf dem Spielbrett platziert haben,
Die Kampfphase beginnt.","¡Lo estás haciendo GENIAL!
Una vez que coloques 3 héroes en el tablero,
La fase de batalla comenzará.","Você está indo muito bem!
Depois de colocar 3 Heróis no tabuleiro,
a fase de batalha começará.","أنت تقوم بعمل رائع!
بمجرد وضع 3 أبطال على اللوحة،
ستبدأ مرحلة المعركة.","У тебя получается ОТЛИЧНО!
Как только вы разместите на доске 3 героев,
начнется фаза боя.","정말 잘하고 있어요!
보드에 영웅 3명을 배치하면,
전투 단계가 시작됩니다.","Stai andando alla GRANDE!
Una volta posizionati 3 eroi sul tabellone,
inizierà la fase di battaglia.","आप बहुत अच्छा कर रहे हैं!
एक बार जब आप 3 नायकों को बोर्ड पर रख देते हैं,
युद्ध का दौर शुरू हो जाएगा.","Ang galing mo!
Kapag naglagay ka ng 3 Bayani sa pisara,
magsisimula na ang yugto ng labanan.","Anda melakukannya dengan HEBAT!
Setelah Anda menempatkan 3 Pahlawan di papan,
fase pertempuran akan dimulai.","คุณทำได้ดีมาก!
เมื่อคุณวางฮีโร่ 3 ตัวบนกระดาน
ระยะการต่อสู้จะเริ่มขึ้น","Harika gidiyorsun!
Tahtaya 3 Kahraman yerleştirdiğinizde,
savaş aşaması başlayacak."
